episode_id,benchmark_uri,state_index,step_index,pass_flag,done,hybrid_reward,runtime_improvement,pre_state_id,post_state_id,pre_ir_instruction_count,post_ir_instruction_count,pre_runtime_median_sec,post_runtime_median_sec,pre_object_text_size_bytes,post_object_text_size_bytes,pre_total_basic_blocks,post_total_basic_blocks,pre_total_functions,post_total_functions,pre_total_instructions,post_total_instructions,pre_total_memory_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,0,-licm,True,-0.442190,-0.442190,443a4c728b9bc4f2,5d5d15970587c3fb,14902,15157,0.633081,0.635880,66014,84422,1359,1360,141,141,14902,15157,8187,7989,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,38,262,896,589,247,746,330,122,156,460,37,263,37,1060,300,1206,162,162,1710,2666,2619,1069,1217,746,1469,367,329,474,515,123,1232,431,1206,765,1580,522,3,3372,179,209,626,96,1240,54,244,1798,173,550,3,363,1360,15157,7989,141,1007,6430
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,1,-loop-rotate,True,-0.132362,-0.132362,443a4c728b9bc4f2,3fd0cf3c3896fbb2,14902,15132,0.633081,0.633918,66014,67446,1359,1422,141,141,14902,15132,8187,8274,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,896,577,280,746,392,156,163,522,37,155,0,1267,155,1268,164,286,1834,2736,2621,1083,1219,746,1483,367,342,474,515,136,1280,431,1268,768,1580,584,3,3697,179,209,155,96,1243,54,244,1755,174,551,3,382,1422,15132,8274,141,310,6778
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,2,-loop-unroll,True,-1.225705,-1.225705,443a4c728b9bc4f2,a9351f4824f28235,14902,14903,0.633081,0.640840,66014,66014,1359,1360,141,141,14902,14903,8187,8187,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,896,589,247,746,330,122,156,460,37,155,0,1205,155,1206,162,162,1710,2666,2619,1069,1217,746,1469,367,329,474,515,125,1229,431,1206,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1360,14903,8187,141,310,6706
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,3,-loop-vectorize,True,-3.976829,-3.976829,443a4c728b9bc4f2,a9351f4824f28235,14902,14903,0.633081,0.658257,66014,66014,1359,1360,141,141,14902,14903,8187,8187,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,896,589,247,746,330,122,156,460,37,155,0,1205,155,1206,162,162,1710,2666,2619,1069,1217,746,1469,367,329,474,515,125,1229,431,1206,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1360,14903,8187,141,310,6706
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,4,-loop-deletion,True,-0.843480,-0.843480,443a4c728b9bc4f2,a9351f4824f28235,14902,14903,0.633081,0.638420,66014,66014,1359,1360,141,141,14902,14903,8187,8187,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,896,589,247,746,330,122,156,460,37,155,0,1205,155,1206,162,162,1710,2666,2619,1069,1217,746,1469,367,329,474,515,125,1229,431,1206,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1360,14903,8187,141,310,6706
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,5,-loop-unswitch,True,-3.562065,-3.562065,443a4c728b9bc4f2,a9351f4824f28235,14902,14903,0.633081,0.655631,66014,66014,1359,1360,141,141,14902,14903,8187,8187,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,896,589,247,746,330,122,156,460,37,155,0,1205,155,1206,162,162,1710,2666,2619,1069,1217,746,1469,367,329,474,515,125,1229,431,1206,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1360,14903,8187,141,310,6706
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,6,-loop-distribute,True,0.002670,0.002670,443a4c728b9bc4f2,0bc2596e1138a141,14902,14902,0.633081,0.633064,66014,66014,1359,1359,141,141,14902,14902,8187,8187,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706
b75655fc1a854a75e868130b,benchmark://cbench-v1/gsm,0,7,-indvars,True,-1.913080,-1.913080,443a4c728b9bc4f2,a9351f4824f28235,14902,14903,0.633081,0.645192,66014,66014,1359,1360,141,141,14902,14903,8187,8187,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,162,163,1709,2666,2619,1069,1217,745,1469,367,329,474,515,125,1228,431,1205,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1359,14902,8187,141,310,6706,0,155,896,589,247,746,330,122,156,460,37,155,0,1205,155,1206,162,162,1710,2666,2619,1069,1217,746,1469,367,329,474,515,125,1229,431,1206,765,1580,522,3,3629,179,209,155,96,1240,54,244,1739,173,550,3,382,1360,14903,8187,141,310,6706
cab35c9bc56974c4ca286a27,benchmark://cbench-v1/gsm,1,0,-licm,True,0.051104,0.051104,156463a8b582e88e,ab937103109cbc33,11771,12344,0.633204,0.632881,67302,82118,1359,1360,141,141,11771,12344,5543,5626,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,160,163,1709,2625,1952,729,1194,745,1460,367,319,474,515,79,1275,218,1205,761,1095,516,3,1474,179,209,155,96,1048,54,244,1739,170,550,3,319,1359,11771,5543,141,310,4083,37,274,896,589,247,746,330,122,156,460,37,274,37,1049,311,1206,160,162,1710,2625,1951,729,1194,746,1460,367,319,474,515,95,1260,218,1206,761,1095,516,3,1510,179,209,642,96,1048,54,244,1786,170,552,3,319,1360,12344,5626,141,1009,4121
cab35c9bc56974c4ca286a27,benchmark://cbench-v1/gsm,1,1,-loop-rotate,True,2.901964,2.901964,156463a8b582e88e,3515fbe11b5c3d0f,11771,12065,0.633204,0.614829,67302,70542,1359,1422,141,141,11771,12065,5543,5625,0,155,895,588,247,745,330,122,156,460,37,155,0,1204,155,1205,160,163,1709,2625,1952,729,1194,745,1460,367,319,474,515,79,1275,218,1205,761,1095,516,3,1474,179,209,155,96,1048,54,244,1739,170,550,3,319,1359,11771,5543,141,310,4083,0,222,896,577,280,746,392,156,163,522,37,222,0,1200,222,1268,162,286,1834,2694,1954,743,1196,746,1473,367,332,474,515,90,1327,218,1268,764,1095,578,3,1537,179,209,225,96,1051,54,244,1755,170,551,3,319,1422,12065,5625,141,440,4150
