episode_id,benchmark_uri,state_index,step_index,pass_flag,done,hybrid_reward,runtime_improvement,pre_state_id,post_state_id,pre_ir_instruction_count,post_ir_instruction_count,pre_runtime_median_sec,post_runtime_median_sec,pre_object_text_size_bytes,post_object_text_size_bytes,pre_total_basic_blocks,post_total_basic_blocks,pre_total_functions,post_total_functions,pre_total_instructions,post_total_instructions,pre_total_memory_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,z_runtime_improvement_pct
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,0,-licm,True,0.288446,0.464971,41808ad66f0910b2,16468faf5f3df5d5,1474,1517,0.002307,0.002297,8451,10653,126,127,18,18,1474,1517,974,941,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,7,21,76,66,5,76,36,3,25,36,0,20,8,99,28,112,29,12,148,248,167,106,120,76,73,27,53,74,2,24,103,86,112,122,81,36,0,375,36,1,75,15,98,0,2,289,12,19,0,0,127,1517,941,18,113,652,0.288446
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,1,-loop-rotate,True,0.781185,1.678900,41808ad66f0910b2,5c76df3e0eada175,1474,1523,0.002307,0.002269,8451,8715,126,143,18,18,1474,1523,974,990,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,76,58,18,76,52,18,21,52,0,0,0,143,0,128,29,44,180,264,167,106,120,76,73,27,53,74,2,28,115,86,128,122,81,52,0,422,36,1,0,15,98,0,2,291,12,19,0,0,143,1523,990,18,0,699,0.781185
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,2,-loop-unroll,True,0.986335,2.184314,41808ad66f0910b2,6f184427a3360b50,1474,1475,0.002307,0.002257,8451,8451,126,127,18,18,1474,1475,974,974,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,76,66,5,76,36,3,25,36,0,0,0,127,0,112,29,12,148,248,167,106,120,76,73,27,53,74,2,28,99,86,112,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,127,1475,974,18,0,683,0.986335
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,3,-loop-vectorize,True,0.195095,0.234988,41808ad66f0910b2,6f184427a3360b50,1474,1475,0.002307,0.002302,8451,8451,126,127,18,18,1474,1475,974,974,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,76,66,5,76,36,3,25,36,0,0,0,127,0,112,29,12,148,248,167,106,120,76,73,27,53,74,2,28,99,86,112,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,127,1475,974,18,0,683,0.195095
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,4,-loop-deletion,True,0.337366,0.585492,41808ad66f0910b2,6f184427a3360b50,1474,1475,0.002307,0.002294,8451,8451,126,127,18,18,1474,1475,974,974,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,76,66,5,76,36,3,25,36,0,0,0,127,0,112,29,12,148,248,167,106,120,76,73,27,53,74,2,28,99,86,112,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,127,1475,974,18,0,683,0.337366
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,5,-loop-unswitch,True,0.754480,1.613110,41808ad66f0910b2,6f184427a3360b50,1474,1475,0.002307,0.002270,8451,8451,126,127,18,18,1474,1475,974,974,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,76,66,5,76,36,3,25,36,0,0,0,127,0,112,29,12,148,248,167,106,120,76,73,27,53,74,2,28,99,86,112,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,127,1475,974,18,0,683,0.754480
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,6,-loop-distribute,True,-1.559507,-4.087708,41808ad66f0910b2,57bc6765f0d9235a,1474,1474,0.002307,0.002402,8451,8451,126,126,18,18,1474,1474,974,974,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,-1.559507
85e50f02db04231554c2c8a7,benchmark://chstone-v0/adpcm,0,7,-indvars,True,-1.783399,-4.639296,41808ad66f0910b2,6f184427a3360b50,1474,1475,0.002307,0.002414,8451,8451,126,127,18,18,1474,1475,974,974,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,248,167,106,120,75,73,27,53,74,2,28,98,86,111,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,126,1474,974,18,0,683,0,0,76,66,5,76,36,3,25,36,0,0,0,127,0,112,29,12,148,248,167,106,120,76,73,27,53,74,2,28,99,86,112,122,81,36,0,406,36,1,0,15,98,0,2,291,12,19,0,0,127,1475,974,18,0,683,-1.783399
8136f633c47d6e6c2d10db2f,benchmark://chstone-v0/adpcm,1,0,-licm,True,-1.050699,-23.356330,b30308a90afc49a5,f5ab71555fbe570e,1217,1304,0.002470,0.003046,8635,10944,126,127,18,18,1217,1304,776,776,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,241,161,103,113,75,72,27,53,74,2,23,103,43,111,122,67,36,0,222,36,1,0,15,83,0,2,291,11,19,0,0,126,1217,776,18,0,441,7,30,76,66,5,76,36,3,25,36,0,29,8,90,37,112,29,12,148,241,161,103,113,76,72,27,53,74,2,21,106,43,112,122,67,36,0,224,36,1,86,15,83,0,2,289,11,19,0,0,127,1304,776,18,129,443,-1.050699
8136f633c47d6e6c2d10db2f,benchmark://chstone-v0/adpcm,1,1,-loop-rotate,True,-0.425370,-15.288020,b30308a90afc49a5,b3d4e951b242e347,1217,1286,0.002470,0.002847,8635,9359,126,143,18,18,1217,1286,776,792,0,0,75,65,5,75,36,3,25,36,0,0,0,126,0,111,29,13,147,241,161,103,113,75,72,27,53,74,2,23,103,43,111,122,67,36,0,222,36,1,0,15,83,0,2,291,11,19,0,0,126,1217,776,18,0,441,0,20,76,58,18,76,52,18,21,52,0,20,0,123,20,128,29,44,180,257,161,103,113,76,72,27,53,74,2,23,120,43,128,122,67,52,0,238,36,1,20,15,83,0,2,291,11,19,0,0,143,1286,792,18,38,457,-0.425370
