episode_id,benchmark_uri,step_index,pass_flag,done,hybrid_reward,runtime_improvement,pre_state_id,post_state_id,no_op,terminal_reason,start_state,available_actions,pre_runtime_median_sec,post_runtime_median_sec,pre_ir_instruction_count,pre_object_text_size_bytes,pre_total_basic_blocks,pre_total_functions,pre_total_instructions,pre_total_memory_instructions,post_ir_instruction_count,post_object_text_size_bytes,post_total_basic_blocks,post_total_functions,post_total_instructions,post_total_memory_instructions,pre_autophase_BBNumArgsHi,pre_autophase_BBNumArgsLo,pre_autophase_onePred,pre_autophase_onePredOneSuc,pre_autophase_onePredTwoSuc,pre_autophase_oneSuccessor,pre_autophase_twoPred,pre_autophase_twoPredOneSuc,pre_autophase_twoEach,pre_autophase_twoSuccessor,pre_autophase_morePreds,pre_autophase_BB03Phi,pre_autophase_BBHiPhi,pre_autophase_BBNoPhi,pre_autophase_BeginPhi,pre_autophase_BranchCount,pre_autophase_returnInt,pre_autophase_CriticalCount,pre_autophase_NumEdges,pre_autophase_const32Bit,pre_autophase_const64Bit,pre_autophase_numConstZeroes,pre_autophase_numConstOnes,pre_autophase_UncondBranches,pre_autophase_binaryConstArg,pre_autophase_NumAShrInst,pre_autophase_NumAddInst,pre_autophase_NumAllocaInst,pre_autophase_NumAndInst,pre_autophase_BlockMid,pre_autophase_BlockLow,pre_autophase_NumBitCastInst,pre_autophase_NumBrInst,pre_autophase_NumCallInst,pre_autophase_NumGetElementPtrInst,pre_autophase_NumICmpInst,pre_autophase_NumLShrInst,pre_autophase_NumLoadInst,pre_autophase_NumMulInst,pre_autophase_NumOrInst,pre_autophase_NumPHIInst,pre_autophase_NumRetInst,pre_autophase_NumSExtInst,pre_autophase_NumSelectInst,pre_autophase_NumShlInst,pre_autophase_NumStoreInst,pre_autophase_NumSubInst,pre_autophase_NumTruncInst,pre_autophase_NumXorInst,pre_autophase_NumZExtInst,pre_autophase_TotalBlocks,pre_autophase_TotalInsts,pre_autophase_TotalMemInst,pre_autophase_TotalFuncs,pre_autophase_ArgsPhi,pre_autophase_testUnary,post_autophase_BBNumArgsHi,post_autophase_BBNumArgsLo,post_autophase_onePred,post_autophase_onePredOneSuc,post_autophase_onePredTwoSuc,post_autophase_oneSuccessor,post_autophase_twoPred,post_autophase_twoPredOneSuc,post_autophase_twoEach,post_autophase_twoSuccessor,post_autophase_morePreds,post_autophase_BB03Phi,post_autophase_BBHiPhi,post_autophase_BBNoPhi,post_autophase_BeginPhi,post_autophase_BranchCount,post_autophase_returnInt,post_autophase_CriticalCount,post_autophase_NumEdges,post_autophase_const32Bit,post_autophase_const64Bit,post_autophase_numConstZeroes,post_autophase_numConstOnes,post_autophase_UncondBranches,post_autophase_binaryConstArg,post_autophase_NumAShrInst,post_autophase_NumAddInst,post_autophase_NumAllocaInst,post_autophase_NumAndInst,post_autophase_BlockMid,post_autophase_BlockLow,post_autophase_NumBitCastInst,post_autophase_NumBrInst,post_autophase_NumCallInst,post_autophase_NumGetElementPtrInst,post_autophase_NumICmpInst,post_autophase_NumLShrInst,post_autophase_NumLoadInst,post_autophase_NumMulInst,post_autophase_NumOrInst,post_autophase_NumPHIInst,post_autophase_NumRetInst,post_autophase_NumSExtInst,post_autophase_NumSelectInst,post_autophase_NumShlInst,post_autophase_NumStoreInst,post_autophase_NumSubInst,post_autophase_NumTruncInst,post_autophase_NumXorInst,post_autophase_NumZExtInst,post_autophase_TotalBlocks,post_autophase_TotalInsts,post_autophase_TotalMemInst,post_autophase_TotalFuncs,post_autophase_ArgsPhi,post_autophase_testUnary,pre_ir_per_func,pre_mem_frac,pre_size_per_inst,pre_blocks_per_func,pre_insts_per_block,post_ir_per_func,post_mem_frac,post_size_per_inst,post_blocks_per_func,post_insts_per_block
445e9805727c49099408dfe5,benchmark://cbench-v1/patricia,0,-stop,True,0.0,0.0,25c7e7b0eb496f6cd1cd32139d76ad4f92aa82cd,25c7e7b0eb496f6cd1cd32139d76ad4f92aa82cd,False,stop,o0,,0.002778,0.002778,1282,5069,158,22,1282,888,1282,5069,158,22,1282,888,0,10,109,65,34,82,38,15,20,60,4,10,0,148,10,142,25,21,202,433,108,253,155,82,23,0,10,55,8,24,134,89,142,134,173,61,2,394,2,3,10,7,32,0,3,132,2,1,0,12,158,1282,888,22,20,584,0,10,109,65,34,82,38,15,20,60,4,10,0,148,10,142,25,21,202,433,108,253,155,82,23,0,10,55,8,24,134,89,142,134,173,61,2,394,2,3,10,7,32,0,3,132,2,1,0,12,158,1282,888,22,20,584,58.27272727272727,0.6926677067082684,3.953978159126365,7.181818181818182,8.113924050632912,58.27272727272727,0.6926677067082684,3.953978159126365,7.181818181818182,8.113924050632912
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,0,-loop-distribute,False,-30.974917,-30.974917,25c7e7b0eb496f6cd1cd32139d76ad4f92aa82cd,25c7e7b0eb496f6cd1cd32139d76ad4f92aa82cd,True,,o0,"[""-indvars"", ""-licm"", ""-loop-deletion"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.001881,0.002464,1282,5069,158,22,1282,888,1282,5069,158,22,1282,888,0,10,109,65,34,82,38,15,20,60,4,10,0,148,10,142,25,21,202,433,108,253,155,82,23,0,10,55,8,24,134,89,142,134,173,61,2,394,2,3,10,7,32,0,3,132,2,1,0,12,158,1282,888,22,20,584,0,10,109,65,34,82,38,15,20,60,4,10,0,148,10,142,25,21,202,433,108,253,155,82,23,0,10,55,8,24,134,89,142,134,173,61,2,394,2,3,10,7,32,0,3,132,2,1,0,12,158,1282,888,22,20,584,58.27272727272727,0.6926677067082684,3.953978159126365,7.181818181818182,8.113924050632912,58.27272727272727,0.6926677067082684,3.953978159126365,7.181818181818182,8.113924050632912
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,1,-licm,False,20.504089,20.504089,25c7e7b0eb496f6cd1cd32139d76ad4f92aa82cd,0c2e491c9edd62ac1848322235847c3e322512be,False,,o0,"[""-indvars"", ""-licm"", ""-loop-deletion"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002464,0.001958,1282,5069,158,22,1282,888,1310,7193,159,22,1310,867,0,10,109,65,34,82,38,15,20,60,4,10,0,148,10,142,25,21,202,433,108,253,155,82,23,0,10,55,8,24,134,89,142,134,173,61,2,394,2,3,10,7,32,0,3,132,2,1,0,12,158,1282,888,22,20,584,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,433,108,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,32,0,3,144,2,1,0,12,159,1310,867,22,85,551,58.27272727272727,0.6926677067082684,3.953978159126365,7.181818181818182,8.113924050632912,59.54545454545455,0.6618320610687023,5.490839694656488,7.2272727272727275,8.238993710691824
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,2,-loop-distribute,False,-35.299287,-35.299287,0c2e491c9edd62ac1848322235847c3e322512be,0c2e491c9edd62ac1848322235847c3e322512be,True,,o0,"[""-indvars"", ""-licm"", ""-loop-deletion"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.001958,0.002650,1310,7193,159,22,1310,867,1310,7193,159,22,1310,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,433,108,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,32,0,3,144,2,1,0,12,159,1310,867,22,85,551,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,433,108,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,32,0,3,144,2,1,0,12,159,1310,867,22,85,551,59.54545454545455,0.6618320610687023,5.490839694656488,7.2272727272727275,8.238993710691824,59.54545454545455,0.6618320610687023,5.490839694656488,7.2272727272727275,8.238993710691824
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,3,-indvars,False,-4.868408,-4.868408,0c2e491c9edd62ac1848322235847c3e322512be,6d3661e026862dafe3e178436e583640b926b10d,False,,o0,"[""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002650,0.002779,1310,7193,159,22,1310,867,1314,7257,159,22,1314,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,433,108,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,32,0,3,144,2,1,0,12,159,1310,867,22,85,551,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,59.54545454545455,0.6618320610687023,5.490839694656488,7.2272727272727275,8.238993710691824,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,4,-loop-unroll,False,-6.417993,-6.417993,6d3661e026862dafe3e178436e583640b926b10d,6d3661e026862dafe3e178436e583640b926b10d,True,,o0,"[""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002779,0.002957,1314,7257,159,22,1314,867,1314,7257,159,22,1314,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,5,-loop-distribute,False,23.798126,23.798126,6d3661e026862dafe3e178436e583640b926b10d,6d3661e026862dafe3e178436e583640b926b10d,True,,o0,"[""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002957,0.002253,1314,7257,159,22,1314,867,1314,7257,159,22,1314,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,6,-loop-deletion,False,8.399875,8.399875,6d3661e026862dafe3e178436e583640b926b10d,6d3661e026862dafe3e178436e583640b926b10d,True,,o0,"[""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002253,0.002064,1314,7257,159,22,1314,867,1314,7257,159,22,1314,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,7,-indvars,False,0.934712,0.934712,6d3661e026862dafe3e178436e583640b926b10d,6d3661e026862dafe3e178436e583640b926b10d,True,,o0,"[""-licm"", ""-loop-rotate"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002064,0.002045,1314,7257,159,22,1314,867,1314,7257,159,22,1314,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226
6646781f4e898243e7106404,benchmark://cbench-v1/patricia,8,-licm,False,6.239712,6.239712,6d3661e026862dafe3e178436e583640b926b10d,20e492e1f906e5fc201a084c6bd3585dfbe2e2d8,False,,o0,"[""-loop-deletion"", ""-loop-rotate"", ""-loop-unroll"", ""-loop-unswitch"", ""-loop-vectorize""]",0.002045,0.001917,1314,7257,159,22,1314,867,1317,7273,159,22,1317,867,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,89,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1314,867,22,85,555,1,34,110,66,34,83,38,15,20,60,4,35,0,124,35,143,25,20,203,431,110,253,155,83,23,0,10,55,8,22,137,92,143,134,173,61,2,361,2,3,58,7,33,0,3,144,2,4,0,12,159,1317,867,22,85,558,59.72727272727273,0.6598173515981736,5.5228310502283104,7.2272727272727275,8.264150943396226,59.86363636363637,0.6583143507972665,5.522399392558846,7.2272727272727275,8.283018867924529
